Name,P1,P2,P3,r/d,D/d,k
1,2.5,55,21.99254227,0.05,1.1,2.199254227
2,2.535,55.19,23.1358435,0.0507,1.1038,2.31358435
3,2.57,55.38,22.9897485,0.0514,1.1076,2.29897485
4,2.605,55.57,22.1458855,0.0521,1.1114,2.21458855
5,2.64,55.76,24.995756,0.0528,1.1152,2.4995756
6,2.675,55.95,23.198828,0.0535,1.119,2.3198828
7,2.71,56.14,23.7707195,0.0542,1.1228,2.37707195
8,2.745,56.33,23.708241,0.0549,1.1266,2.3708241
9,2.78,56.52,22.848195,0.0556,1.1304,2.2848195
10,2.815,56.71,26.961052,0.0563,1.1342,2.6961052
11,2.85,56.9,22.417806,0.057,1.138,2.2417806
12,2.885,57.09,24.128403,0.0577,1.1418,2.4128403
13,2.92,57.28,26.2427785,0.0584,1.1456,2.62427785
14,2.955,57.47,22.53875,0.0591,1.1494,2.253875
15,2.99,57.66,22.5953135,0.0598,1.1532,2.25953135
16,3.025,57.85,25.611787,0.0605,1.157,2.5611787
17,3.06,58.04,25.4979635,0.0612,1.1608,2.54979635
18,3.095,58.23,23.509133,0.0619,1.1646,2.3509133
19,3.13,58.42,23.2337065,0.0626,1.1684,2.32337065
20,3.165,58.61,25.759386,0.0633,1.1722,2.5759386
21,3.2,58.8,24.682108,0.064,1.176,2.4682108
22,3.235,58.99,24.7586725,0.0647,1.1798,2.47586725
23,3.27,59.18,26.0420155,0.0654,1.1836,2.60420155
24,3.305,59.37,24.50812,0.0661,1.1874,2.450812
25,3.34,59.56,25.888958,0.0668,1.1912,2.5888958
26,3.375,59.75,24.786355,0.0675,1.195,2.4786355
27,3.41,59.94,24.7025915,0.0682,1.1988,2.47025915
28,3.445,60.13,26.8217445,0.0689,1.2026,2.68217445
29,3.48,60.32,25.9009755,0.0696,1.2064,2.59009755
30,3.515,60.51,24.7273875,0.0703,1.2102,2.47273875
31,3.55,60.7,24.610019,0.071,1.214,2.4610019
32,3.585,60.89,27.3199495,0.0717,1.2178,2.73199495
33,3.62,61.08,26.690108,0.0724,1.2216,2.6690108
34,3.655,61.27,25.9027815,0.0731,1.2254,2.59027815
35,3.69,61.46,25.2024875,0.0738,1.2292,2.52024875
36,3.725,61.65,25.878495,0.0745,1.233,2.5878495
37,3.76,61.84,25.13341,0.0752,1.2368,2.513341
38,3.795,62.03,23.472886,0.0759,1.2406,2.3472886
39,3.83,62.22,24.137029,0.0766,1.2444,2.4137029
40,3.865,62.41,25.2177625,0.0773,1.2482,2.52177625
41,3.9,62.6,25.357485,0.078,1.252,2.5357485
42,3.935,62.79,25.501715,0.0787,1.2558,2.5501715
43,3.97,62.98,24.916041,0.0794,1.2596,2.4916041
44,4.005,63.17,24.0566935,0.0801,1.2634,2.40566935
45,4.04,63.36,24.8752335,0.0808,1.2672,2.48752335
46,4.075,63.55,25.636721,0.0815,1.271,2.5636721
47,4.11,63.74,26.0684215,0.0822,1.2748,2.60684215
48,4.145,63.93,24.9437855,0.0829,1.2786,2.49437855
49,4.18,64.12,24.7907135,0.0836,1.2824,2.47907135
50,4.215,64.31,25.097552,0.0843,1.2862,2.5097552
51,4.25,64.5,26.827812,0.085,1.29,2.6827812
52,4.285,64.69,24.4386265,0.0857,1.2938,2.44386265
53,4.32,64.88,24.7157535,0.0864,1.2976,2.47157535
54,4.355,65.07,24.7761705,0.0871,1.3014,2.47761705
55,4.39,65.26,24.2131695,0.0878,1.3052,2.42131695
56,4.425,65.45,23.7534765,0.0885,1.309,2.37534765
57,4.46,65.64,24.937052,0.0892,1.3128,2.4937052
58,4.495,65.83,26.5763385,0.0899,1.3166,2.65763385
59,4.53,66.02,25.118698,0.0906,1.3204,2.5118698
60,4.565,66.21,25.653443,0.0913,1.3242,2.5653443
61,4.6,66.4,24.258447,0.092,1.328,2.4258447
62,4.635,66.59,25.239344,0.0927,1.3318,2.5239344
63,4.67,66.78,24.6392135,0.0934,1.3356,2.46392135
64,4.705,66.97,25.5608765,0.0941,1.3394,2.55608765
65,4.74,67.16,24.226418,0.0948,1.3432,2.4226418
66,4.775,67.35,24.5199275,0.0955,1.347,2.45199275
67,4.81,67.54,24.520702,0.0962,1.3508,2.4520702
68,4.845,67.73,23.9582885,0.0969,1.3546,2.39582885
69,4.88,67.92,25.489178,0.0976,1.3584,2.5489178
70,4.915,68.11,23.968606,0.0983,1.3622,2.3968606
71,4.95,68.3,24.778798,0.099,1.366,2.4778798
72,4.985,68.49,24.565522,0.0997,1.3698,2.4565522
73,5.02,68.68,23.98013,0.1004,1.3736,2.398013
74,5.055,68.87,25.4383805,0.1011,1.3774,2.54383805
75,5.09,69.06,25.4665455,0.1018,1.3812,2.54665455
76,5.125,69.25,23.418762,0.1025,1.385,2.3418762
77,5.16,69.44,25.4083725,0.1032,1.3888,2.54083725
78,5.195,69.63,23.6061805,0.1039,1.3926,2.36061805
79,5.23,69.82,25.5663925,0.1046,1.3964,2.55663925
80,5.265,70.01,25.443931,0.1053,1.4002,2.5443931
81,5.3,70.2,24.6799505,0.106,1.404,2.46799505
82,5.335,70.39,25.164355,0.1067,1.4078,2.5164355
83,5.37,70.58,24.9856255,0.1074,1.4116,2.49856255
84,5.405,70.77,24.3122815,0.1081,1.4154,2.43122815
85,5.44,70.96,24.188697,0.1088,1.4192,2.4188697
86,5.475,71.15,24.313709,0.1095,1.423,2.4313709
87,5.51,71.34,25.536542,0.1102,1.4268,2.5536542
88,5.545,71.53,23.68226,0.1109,1.4306,2.368226
89,5.58,71.72,24.2975155,0.1116,1.4344,2.42975155
90,5.615,71.91,25.3620385,0.1123,1.4382,2.53620385
91,5.65,72.1,24.03847,0.113,1.442,2.403847
92,5.685,72.29,24.3090605,0.1137,1.4458,2.43090605
93,5.72,72.48,23.580928,0.1144,1.4496,2.3580928
94,5.755,72.67,23.9549835,0.1151,1.4534,2.39549835
95,5.79,72.86,24.3449875,0.1158,1.4572,2.43449875
96,5.825,73.05,23.541496,0.1165,1.461,2.3541496
97,5.86,73.24,23.956453,0.1172,1.4648,2.3956453
98,5.895,73.43,25.770839,0.1179,1.4686,2.5770839
99,5.93,73.62,24.5813615,0.1186,1.4724,2.45813615
100,5.965,73.81,24.0645315,0.1193,1.4762,2.40645315
101,6,74,26.2001475,0.12,1.48,2.62001475
102,6.035,74.19,25.1244675,0.1207,1.4838,2.51244675
103,6.07,74.38,24.3751435,0.1214,1.4876,2.43751435
104,6.105,74.57,24.33869,0.1221,1.4914,2.433869
105,6.14,74.76,24.518973,0.1228,1.4952,2.4518973
106,6.175,74.95,23.40099,0.1235,1.499,2.340099
107,6.21,75.14,25.020776,0.1242,1.5028,2.5020776
108,6.245,75.33,23.216904,0.1249,1.5066,2.3216904
109,6.28,75.52,24.0941505,0.1256,1.5104,2.40941505
110,6.315,75.71,24.5463625,0.1263,1.5142,2.45463625
111,6.35,75.9,23.8085315,0.127,1.518,2.38085315
112,6.385,76.09,25.522701,0.1277,1.5218,2.5522701
113,6.42,76.28,23.53016,0.1284,1.5256,2.353016
114,6.455,76.47,25.0228805,0.1291,1.5294,2.50228805
115,6.49,76.66,23.164158,0.1298,1.5332,2.3164158
116,6.525,76.85,25.006913,0.1305,1.537,2.5006913
117,6.56,77.04,24.607638,0.1312,1.5408,2.4607638
118,6.595,77.23,24.6105215,0.1319,1.5446,2.46105215
119,6.63,77.42,23.7686695,0.1326,1.5484,2.37686695
120,6.665,77.61,24.667083,0.1333,1.5522,2.4667083
121,6.7,77.8,23.559422,0.134,1.556,2.3559422
122,6.735,77.99,23.952466,0.1347,1.5598,2.3952466
123,6.77,78.18,23.4652595,0.1354,1.5636,2.34652595
124,6.805,78.37,22.685048,0.1361,1.5674,2.2685048
125,6.84,78.56,23.931291,0.1368,1.5712,2.3931291
126,6.875,78.75,24.690595,0.1375,1.575,2.4690595
127,6.91,78.94,24.31878,0.1382,1.5788,2.431878
128,6.945,79.13,22.794312,0.1389,1.5826,2.2794312
129,6.98,79.32,24.9530195,0.1396,1.5864,2.49530195
130,7.015,79.51,24.611975,0.1403,1.5902,2.4611975
131,7.05,79.7,24.512567,0.141,1.594,2.4512567
132,7.085,79.89,24.1477935,0.1417,1.5978,2.41477935
133,7.12,80.08,22.9145805,0.1424,1.6016,2.29145805
134,7.155,80.27,24.2323785,0.1431,1.6054,2.42323785
135,7.19,80.46,24.4772255,0.1438,1.6092,2.44772255
136,7.225,80.65,24.410735,0.1445,1.613,2.4410735
137,7.26,80.84,22.7374035,0.1452,1.6168,2.27374035
138,7.295,81.03,24.8685715,0.1459,1.6206,2.48685715
139,7.33,81.22,24.1519,0.1466,1.6244,2.41519
140,7.365,81.41,23.3969185,0.1473,1.6282,2.33969185
141,7.4,81.6,22.927548,0.148,1.632,2.2927548
142,7.435,81.79,23.7384325,0.1487,1.6358,2.37384325
143,7.47,81.98,22.783228,0.1494,1.6396,2.2783228
144,7.505,82.17,24.2847425,0.1501,1.6434,2.42847425
145,7.54,82.36,24.2179275,0.1508,1.6472,2.42179275
146,7.575,82.55,24.6558405,0.1515,1.651,2.46558405
147,7.61,82.74,23.1662125,0.1522,1.6548,2.31662125
148,7.645,82.93,23.2505515,0.1529,1.6586,2.32505515
149,7.68,83.12,23.623571,0.1536,1.6624,2.3623571
150,7.715,83.31,24.0765715,0.1543,1.6662,2.40765715
151,7.75,83.5,23.523873,0.155,1.67,2.3523873
152,7.785,83.69,24.083456,0.1557,1.6738,2.4083456
153,7.82,83.88,23.821273,0.1564,1.6776,2.3821273
154,7.855,84.07,22.855026,0.1571,1.6814,2.2855026
155,7.89,84.26,22.648744,0.1578,1.6852,2.2648744
156,7.925,84.45,24.2371065,0.1585,1.689,2.42371065
157,7.96,84.64,22.571213,0.1592,1.6928,2.2571213
158,7.995,84.83,24.0701025,0.1599,1.6966,2.40701025
159,8.03,85.02,24.0352435,0.1606,1.7004,2.40352435
160,8.065,85.21,23.352656,0.1613,1.7042,2.3352656
161,8.1,85.4,24.070097,0.162,1.708,2.4070097
162,8.135,85.59,23.7563615,0.1627,1.7118,2.37563615
163,8.17,85.78,23.641744,0.1634,1.7156,2.3641744
164,8.205,85.97,22.979803,0.1641,1.7194,2.2979803
165,8.24,86.16,24.0057375,0.1648,1.7232,2.40057375
166,8.275,86.35,21.951131,0.1655,1.727,2.1951131
167,8.31,86.54,24.16614,0.1662,1.7308,2.416614
168,8.345,86.73,22.913133,0.1669,1.7346,2.2913133
169,8.38,86.92,23.103097,0.1676,1.7384,2.3103097
170,8.415,87.11,24.433928,0.1683,1.7422,2.4433928
171,8.45,87.3,22.8350695,0.169,1.746,2.28350695
172,8.485,87.49,23.5549425,0.1697,1.7498,2.35549425
173,8.52,87.68,24.0362425,0.1704,1.7536,2.40362425
174,8.555,87.87,24.039479,0.1711,1.7574,2.4039479
175,8.59,88.06,23.2036075,0.1718,1.7612,2.32036075
176,8.625,88.25,23.681946,0.1725,1.765,2.3681946
177,8.66,88.44,23.101124,0.1732,1.7688,2.3101124
178,8.695,88.63,24.0178675,0.1739,1.7726,2.40178675
179,8.73,88.82,24.14758,0.1746,1.7764,2.414758
180,8.765,89.01,23.6007375,0.1753,1.7802,2.36007375
181,8.8,89.2,23.56277,0.176,1.784,2.356277
182,8.835,89.39,23.461911,0.1767,1.7878,2.3461911
183,8.87,89.58,23.341242,0.1774,1.7916,2.3341242
184,8.905,89.77,22.9633115,0.1781,1.7954,2.29633115
185,8.94,89.96,24.43515,0.1788,1.7992,2.443515
186,8.975,90.15,22.640524,0.1795,1.803,2.2640524
187,9.01,90.34,23.9457905,0.1802,1.8068,2.39457905
188,9.045,90.53,24.079762,0.1809,1.8106,2.4079762
189,9.08,90.72,22.680722,0.1816,1.8144,2.2680722
190,9.115,90.91,22.757487,0.1823,1.8182,2.2757487
191,9.15,91.1,21.640186,0.183,1.822,2.1640186
192,9.185,91.29,22.943475,0.1837,1.8258,2.2943475
193,9.22,91.48,23.3301645,0.1844,1.8296,2.33301645
194,9.255,91.67,23.398262,0.1851,1.8334,2.3398262
195,9.29,91.86,23.4079695,0.1858,1.8372,2.34079695
196,9.325,92.05,23.7834135,0.1865,1.841,2.37834135
197,9.36,92.24,23.4303575,0.1872,1.8448,2.34303575
198,9.395,92.43,23.172178,0.1879,1.8486,2.3172178
199,9.43,92.62,23.634653,0.1886,1.8524,2.3634653
200,9.465,92.81,21.08023,0.1893,1.8562,2.108023
201,9.5,93,23.631198,0.19,1.86,2.3631198
202,9.535,93.19,22.472438,0.1907,1.8638,2.2472438
203,9.57,93.38,23.102318,0.1914,1.8676,2.3102318
204,9.605,93.57,22.082165,0.1921,1.8714,2.2082165
205,9.64,93.76,22.677898,0.1928,1.8752,2.2677898
206,9.675,93.95,23.698086,0.1935,1.879,2.3698086
207,9.71,94.14,23.6897,0.1942,1.8828,2.36897
208,9.745,94.33,23.2543735,0.1949,1.8866,2.32543735
209,9.78,94.52,22.722083,0.1956,1.8904,2.2722083
210,9.815,94.71,22.5294085,0.1963,1.8942,2.25294085
211,9.85,94.9,23.022263,0.197,1.898,2.3022263
212,9.885,95.09,22.978213,0.1977,1.9018,2.2978213
213,9.92,95.28,22.9735545,0.1984,1.9056,2.29735545
214,9.955,95.47,23.3048345,0.1991,1.9094,2.33048345
215,9.99,95.66,22.854908,0.1998,1.9132,2.2854908
216,10.025,95.85,22.5895165,0.2005,1.917,2.25895165
217,10.06,96.04,22.6499875,0.2012,1.9208,2.26499875
218,10.095,96.23,22.3026995,0.2019,1.9246,2.23026995
219,10.13,96.42,22.8259725,0.2026,1.9284,2.28259725
220,10.165,96.61,22.6837655,0.2033,1.9322,2.26837655
221,10.2,96.8,22.7117905,0.204,1.936,2.27117905
222,10.235,96.99,22.980633,0.2047,1.9398,2.2980633
223,10.27,97.18,22.6755115,0.2054,1.9436,2.26755115
224,10.305,97.37,23.0995805,0.2061,1.9474,2.30995805
225,10.34,97.56,23.0663685,0.2068,1.9512,2.30663685
226,10.375,97.75,23.1831935,0.2075,1.955,2.31831935
227,10.41,97.94,21.6636485,0.2082,1.9588,2.16636485
228,10.445,98.13,23.092783,0.2089,1.9626,2.3092783
229,10.48,98.32,23.170806,0.2096,1.9664,2.3170806
230,10.515,98.51,22.3272145,0.2103,1.9702,2.23272145
231,10.55,98.7,22.8304795,0.211,1.974,2.28304795
232,10.585,98.89,22.8594005,0.2117,1.9778,2.28594005
233,10.62,99.08,24.0827295,0.2124,1.9816,2.40827295
234,10.655,99.27,22.343578,0.2131,1.9854,2.2343578
235,10.69,99.46,22.8200715,0.2138,1.9892,2.28200715
236,10.725,99.65,23.150377,0.2145,1.993,2.3150377
237,10.76,99.84,22.619333,0.2152,1.9968,2.2619333
238,10.795,100.03,22.668346,0.2159,2.0006,2.2668346
239,10.83,100.22,22.964364,0.2166,2.0044,2.2964364
240,10.865,100.41,22.7003545,0.2173,2.0082,2.27003545
241,10.9,100.6,22.0531195,0.218,2.012,2.20531195
242,10.935,100.79,22.988116,0.2187,2.0158,2.2988116
243,10.97,100.98,21.652547,0.2194,2.0196,2.1652547
244,11.005,101.17,22.4406385,0.2201,2.0234,2.24406385
245,11.04,101.36,22.6776725,0.2208,2.0272,2.26776725
246,11.075,101.55,22.2528085,0.2215,2.031,2.22528085
247,11.11,101.74,21.689958,0.2222,2.0348,2.1689958
248,11.145,101.93,22.735058,0.2229,2.0386,2.2735058
249,11.18,102.12,20.909529,0.2236,2.0424,2.0909529
250,11.215,102.31,22.440769,0.2243,2.0462,2.2440769
251,11.25,102.5,22.569213,0.225,2.05,2.2569213
252,11.285,102.69,22.7788275,0.2257,2.0538,2.27788275
253,11.32,102.88,22.6114865,0.2264,2.0576,2.26114865
254,11.355,103.07,22.548338,0.2271,2.0614,2.2548338
255,11.39,103.26,22.390235,0.2278,2.0652,2.2390235
